"month_year","kg_waste_processed","kg_larvae_produced","kg_fertilizer_produced","date","conventional_co2_waste","conventional_co2_feed","conventional_co2_fertilizer","bsf_co2_waste","bsf_co2_feed","bsf_co2_fertilizer","averted_co2_waste","averted_co2_feed","averted_co2_fertilizer","monthly_eggs"
"07-2025",906,45.9,30.6,2025-07-01,815.4,64.26,65.79,22.65,23.868,0,792.75,40.392,65.79,14
"08-2025",90,26.4,29.9,2025-08-01,81,36.96,64.285,2.25,13.728,0,78.75,23.232,64.285,31
"09-2025",669,32.1,16.05,2025-09-01,602.1,44.94,34.5075,16.725,16.692,0,585.375,28.248,34.5075,21
"10-2025",448,23.7,24.75,2025-10-01,403.2,33.18,53.2125,11.2,12.324,0,392,20.856,53.2125,44
"11-2025",92,15.35,8.05,2025-11-01,82.8,21.49,17.3075,2.3,7.982,0,80.5,13.508,17.3075,18
"12-2025",1154.5,83.75,74.33,2025-12-01,1039.05,117.25,159.8095,28.8625,43.55,0,1010.1875,73.7,159.8095,7
"01-2026",1246,117.4,97.2,2026-01-01,1121.4,164.36,208.98,31.15,61.048,0,1090.25,103.312,208.98,NA
"02-2026",1059.5,92.25,60.69,2026-02-01,953.55,129.15,130.4835,26.4875,47.97,0,927.0625,81.18,130.4835,48
"03-2026",1530.6,136.51,71.65,2026-03-01,1377.54,191.114,154.0475,38.265,70.9852,0,1339.275,120.1288,154.0475,NA
"04-2026",407.5,11.5,7.34,2026-04-01,366.75,16.1,15.781,10.1875,5.98,0,356.5625,10.12,15.781,96
